Year,Period_Deaths,Pop_Est,Total_Deaths,Hurricane_Maria,Period_Deaths_Imputed
2000,9210,3810605,28846,0,9210
2001,10286,3818774,29438,0,10286
2002,9452,3823701,28415,0,9452
2003,9887,3826095,28842,0,9887
2004,9879,3826878,29600,0,9879
2005,9725,3821362,29978,0,9725
2006,9609,3805214,28637,0,9609
2007,9792,3782995,29321,0,9792
2008,9635,3760866,29100,0,9635
2009,9448,3740410,29125,0,9448
2010,10037,3721525,29290,0,10037
2011,9847,3678732,30002,0,9847
2012,9903,3634488,29873,0,9903
2013,9702,3593077,29446,0,9702
2014,10931,3534874,30346,0,10519
2015,9438,3473177,28411,0,9438
2016,10063,3406520,29649,0,10063
2017,11459,3337177,31001,1,11459
